route,trip_count,pct_of_total
Hearst Ave at Euclid Ave → Shattuck Ave at Hearst Ave,77,0.04406950390329892
16th St Mission BART Station 2 → Harrison St at 17th St,77,0.04406950390329892
Derby St at College Ave → Bancroft Way at College Ave,77,0.04406950390329892
Folsom St at 9th St → San Francisco Caltrain Station 2  (Townsend St at 4th St),77,0.04406950390329892
Steuart St at Market St → The Embarcadero at Bryant St,77,0.04406950390329892
San Francisco Public Library (Grove St at Hyde St) → 8th St at Brannan St,77,0.04406950390329892
Union St at 10th St → West Oakland BART Station,76,0.04349717268377556
Telegraph Ave at Ashby Ave → Bancroft Way at Telegraph Ave,76,0.04349717268377556
DeFremery Park → West Oakland BART Station,76,0.04349717268377556
S Van Ness Ave at Market St → San Francisco Caltrain Station 2  (Townsend St at 4th St),76,0.04349717268377556
4th St at 16th St → Steuart St at Market St,76,0.04349717268377556
Market St at Dolores St → Market St at 10th St,76,0.04349717268377556
11th St at Bryant St → San Francisco Caltrain Station 2  (Townsend St at 4th St),76,0.04349717268377556
El Embarcadero at Grand Ave → 19th Street BART Station,76,0.04349717268377556
Steuart St at Market St → Esprit Park,76,0.04349717268377556
Steuart St at Market St → San Francisco Caltrain Station 2  (Townsend St at 4th St),76,0.04349717268377556
Julian St at The Alameda → Morrison Ave at Julian St,75,0.0429248414642522
San Francisco Caltrain Station 2  (Townsend St at 4th St) → 5th St at Folsom,75,0.0429248414642522
Bancroft Way at Telegraph Ave → Derby St at College Ave,75,0.0429248414642522
MacArthur BART Station → Mosswood Park,75,0.0429248414642522
Beale St at Harrison St → The Embarcadero at Sansome St,75,0.0429248414642522
Bancroft Way at Telegraph Ave → MLK Jr Way at University Ave,74,0.04235251024472883
Lake Merritt BART Station → El Embarcadero at Grand Ave,74,0.04235251024472883
Beale St at Harrison St → San Francisco Caltrain Station 2  (Townsend St at 4th St),74,0.04235251024472883
Market St at 10th St → 8th St at Brannan St,74,0.04235251024472883
Russell St at College Ave → Bancroft Way at College Ave,74,0.04235251024472883
Market St at 45th St → MacArthur BART Station,74,0.04235251024472883
Steuart St at Market St → 4th St at Mission Bay Blvd S,74,0.04235251024472883
Rockridge BART Station → College Ave at Alcatraz Ave,73,0.04178017902520547
San Fernando St at 4th St → 2nd St at Julian St,73,0.04178017902520547
Embarcadero BART Station (Beale St at Market St) → Howard St at Beale St,73,0.04178017902520547
Downtown Berkeley BART → Parker St at Fulton St,73,0.04178017902520547
Post St at Kearny St → San Francisco Caltrain Station 2  (Townsend St at 4th St),72,0.0412078478056821
49th St at Telegraph Ave → MacArthur BART Station,72,0.0412078478056821
Mission Playground → Valencia St at Cesar Chavez St,72,0.0412078478056821
Howard St at Mary St → Howard St at 8th St,72,0.0412078478056821
19th Street BART Station → Broadway at 30th St,72,0.0412078478056821
5th St at Folsom → San Francisco Caltrain Station 2  (Townsend St at 4th St),72,0.0412078478056821
5th St at Folsom → Folsom St at 3rd St,72,0.0412078478056821
Broadway at Battery St → San Francisco Caltrain (Townsend St at 4th St),72,0.0412078478056821
3rd St at Townsend St → Steuart St at Market St,71,0.04063551658615874
Market St at 10th St → Market St at Dolores St,71,0.04063551658615874
Union Square (Powell St at Post St) → Market St at 10th St,71,0.04063551658615874
The Embarcadero at Vallejo St → Steuart St at Market St,71,0.04063551658615874
Morrison Ave at Julian St → Julian St at The Alameda,70,0.040063185366635376
Haste St at College Ave → Bancroft Way at College Ave,70,0.040063185366635376
MacArthur BART Station → Broadway at 40th St,70,0.040063185366635376
Townsend St at 5th St → Powell St BART Station (Market St at 5th St),70,0.040063185366635376
The Embarcadero at Sansome St → The Embarcadero at Steuart St,70,0.040063185366635376
Bancroft Way at College Ave → Telegraph Ave at Carleton St,70,0.040063185366635376
Hearst Ave at Euclid Ave → Haste St at Telegraph Ave,70,0.040063185366635376
Howard St at Beale St → 2nd St at Townsend St,70,0.040063185366635376
11th St at Bryant St → Market St at 10th St,70,0.040063185366635376
San Salvador St at 9th St → San Fernando St at 4th St,69,0.039490854147112016
Parker St at Fulton St → Fulton St at Bancroft Way,69,0.039490854147112016
Parker St at Fulton St → Bancroft Way at College Ave,69,0.039490854147112016
MacArthur BART Station → 45th St at Manila,69,0.039490854147112016
Laguna St at Hayes St → Montgomery St BART Station (Market St at 2nd St),69,0.039490854147112016
China Basin St at 3rd St → San Francisco Ferry Building (Harry Bridges Plaza),69,0.039490854147112016
San Francisco Caltrain (Townsend St at 4th St) → The Embarcadero at Steuart St,69,0.039490854147112016
Haste St at Telegraph Ave → Bancroft Way at Telegraph Ave,68,0.038918522927588656
San Francisco Ferry Building (Harry Bridges Plaza) → 4th St at 16th St,68,0.038918522927588656
San Francisco Ferry Building (Harry Bridges Plaza) → Montgomery St BART Station (Market St at 2nd St),68,0.038918522927588656
2nd St at Townsend St → Howard St at Beale St,68,0.038918522927588656
Bancroft Way at College Ave → Haste St at Telegraph Ave,67,0.038346191708065296
Steuart St at Market St → 4th St at 16th St,67,0.038346191708065296
Ellsworth St at Russell St → Ashby BART Station,67,0.038346191708065296
Montgomery St BART Station (Market St at 2nd St) → The Embarcadero at Sansome St,67,0.038346191708065296
Bryant St at 2nd St → San Francisco Caltrain (Townsend St at 4th St),66,0.03777386048854193
San Francisco Caltrain (Townsend St at 4th St) → 2nd St at Townsend St,66,0.03777386048854193
Folsom St at 3rd St → San Francisco Ferry Building (Harry Bridges Plaza),66,0.03777386048854193
Bancroft Way at College Ave → Hearst Ave at Euclid Ave,66,0.03777386048854193
The Embarcadero at Sansome St → The Embarcadero at Sansome St,66,0.03777386048854193
3rd St at Townsend St → The Embarcadero at Steuart St,66,0.03777386048854193
University Ave at Oxford St → Hearst Ave at Euclid Ave,65,0.03720152926901857
Esprit Park → 4th St at 16th St,65,0.03720152926901857
China Basin St at 3rd St → Steuart St at Market St,65,0.03720152926901857
San Francisco Ferry Building (Harry Bridges Plaza) → San Francisco Caltrain Station 2  (Townsend St at 4th St),65,0.03720152926901857
14th St at Mission St → San Francisco Caltrain Station 2  (Townsend St at 4th St),65,0.03720152926901857
Hearst Ave at Euclid Ave → University Ave at Oxford St,65,0.03720152926901857
5th St at San Salvador St → 5th St at Virginia St,65,0.03720152926901857
San Francisco Caltrain (Townsend St at 4th St) → Beale St at Harrison St,64,0.0366291980494952
San Francisco Caltrain (Townsend St at 4th St) → Steuart St at Market St,64,0.0366291980494952
Lombard St at Columbus Ave → Lombard St at Columbus Ave,64,0.0366291980494952
Broadway at Kearny → Montgomery St BART Station (Market St at 2nd St),64,0.0366291980494952
Beale St at Harrison St → 4th St at Mission Bay Blvd S,64,0.0366291980494952
San Francisco Caltrain (Townsend St at 4th St) → Townsend St at 7th St,64,0.0366291980494952
San Francisco Caltrain (Townsend St at 4th St) → Market St at 10th St,64,0.0366291980494952
Mosswood Park → MacArthur BART Station,64,0.0366291980494952
Lombard St at Columbus Ave → The Embarcadero at Sansome St,64,0.0366291980494952
Civic Center/UN Plaza BART Station (Market St at McAllister St) → Montgomery St BART Station (Market St at 2nd St),64,0.0366291980494952
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Powell St BART Station (Market St at 4th St),64,0.0366291980494952
Berry St at 4th St → Embarcadero BART Station (Beale St at Market St),64,0.0366291980494952
Channing Way at Shattuck Ave → Bancroft Way at Telegraph Ave,64,0.0366291980494952
Post St at Kearny St → San Francisco Caltrain (Townsend St at 4th St),63,0.03605686682997184
Powell St BART Station (Market St at 4th St) → The Embarcadero at Sansome St,63,0.03605686682997184
Steuart St at Market St → China Basin St at 3rd St,63,0.03605686682997184
The Embarcadero at Sansome St → Lombard St at Columbus Ave,62,0.03548453561044848
San Francisco Ferry Building (Harry Bridges Plaza) → Lombard St at Columbus Ave,62,0.03548453561044848
San Francisco Ferry Building (Harry Bridges Plaza) → The Embarcadero at Vallejo St,62,0.03548453561044848
Powell St BART Station (Market St at 4th St) → Davis St at Jackson St,62,0.03548453561044848
The Embarcadero at Steuart St → 2nd St at Townsend St,62,0.03548453561044848
Bancroft Way at Telegraph Ave → Telegraph Ave at Ashby Ave,62,0.03548453561044848
Lakeshore Ave at Trestle Glen Rd → 19th Street BART Station,62,0.03548453561044848
Bryant St at 15th St → San Francisco Caltrain Station 2  (Townsend St at 4th St),62,0.03548453561044848
